type,name,url,thomasID,jurisdiction
house,House Committee on Agriculture,http://agriculture.house.gov/,HSAG,"The House Committee on Agriculture has jurisdiction over federal agriculture policy and oversight of some federal agencies, and it can recommend funding appropriations for various governmental agencies, programs, and activities, as defined by House rules."
house,House Committee on Appropriations,http://appropriations.house.gov/,HSAP,"The House Committee on Appropriations is responsible for setting specific expenditures of money by the government of the United States. As such, it is one of the most powerful of the committees, and its members are seen as influential. The bills passed by the committee are called appropriations bills."
house,House Committee on Armed Services,http://armedservices.house.gov/,HSAS,"The House Committee on Armed Services has jurisdiction over defense policy generally, ongoing military operations, the organization and reform of the Department of Defense and Department of Energy, counter-drug programs, acquisition and industrial base policy, technology transfer and export controls, joint interoperability, the Cooperative Threat Reduction program, Department of Energy nonproliferation programs, and detainee affairs and policy."
house,House Committee on Financial Services,http://financialservices.house.gov/,HSBA,"The House Financial Services Committee has jurisdiction over issues pertaining to the economy, the banking system, housing, insurance, and securities and exchanges. Additionally, the Committee also has jurisdiction over monetary policy, international finance, international monetary organizations, and efforts to combat terrorist financing."
house,House Committee on the Budget,http://budget.house.gov/,HSBU,"The House Committee on the Budget has responsibilities under the following categories: the budget resolution, reconciliation, budget process reform, oversight of the Congressional Budget Office, revisions of allocations and adjustments, and scorekeeping."
house,House Committee on Education and the Workforce,http://edworkforce.house.gov/,HSED,The House Committee on Education and the Workforce’s basic jurisdiction is over education and workforce matters generally.
house,House Committee on Foreign Affairs,http://foreignaffairs.house.gov/,HSFA,"The House Committee on Foreign Affairs considers legislation that impacts the diplomatic community, which includes the Department of State, the Agency for International Development (USAID), the Peace Corps, the United Nations, and the enforcement of the Arms Export Control Act."
house,House Committee on Oversight and Government Reform,http://oversight.house.gov/,HSGO,"The Committee on Oversight and Government Reform has legislative jurisdiction over the District of Columbia, the government procurement process, federal personnel systems, the Postal Service and other oversight matters across the government."
house,House Committee on House Administration,http://cha.house.gov/,HSHA,The Committee on House Administration is charged with the oversight of federal elections and the day-to-day operations of the House of Representatives
house,House Committee on Homeland Security,http://homeland.house.gov/,HSHM,The Committee on Homeland Security was established in 2002 to provide Congressional oversight for the U.S. Department of Homeland Security and better protect the American people against a possible terrorist attack. 
house,House Committee on Energy and Commerce,http://energycommerce.house.gov/,HSIF,"The Committee on Energy and Commerce, the oldest standing legislative committee in the U.S. House of Representatives, is vested with the broadest jurisdiction of any congressional authorizing committee. It has responsibility for the nation’s telecommunications, consumer protection, food and drug safety, public health research, environmental quality, energy policy, and interstate and foreign commerce. It oversees multiple cabinet-level Departments and independent agencies, including the Departments of Energy, Health and Human Services, Commerce, and Transportation, as well as the Environmental Protection Agency, the Federal Trade Commission, the Food and Drug Administration, and the Federal Communications Commission."
house,House Committee on Natural Resources,http://naturalresources.house.gov/,HSII,"The House Committee on Natural Resources considers legislation about American energy production, mineral lands and mining, fisheries and wildlife, public lands, oceans, Native Americans, irrigation and reclamation."
house,House Permanent Select Committee on Intelligence,http://intelligence.house.gov/,HLIG,"The United States House Permanent Select Committee on Intelligence is charged with the oversight of the United States intelligence community, which includes the intelligence and intelligence related activities of 17 elements of the U.S. Government, and the Military Intelligence Program."
house,House Committee on the Judiciary,http://judiciary.house.gov/,HSJU,"The Committee on the Judiciary has been called the lawyer for the House of Representatives because of its jurisdiction over matters relating to the administration of justice in federal courts, administrative bodies, and law enforcement agencies. Its infrequent but important role in impeachment proceedings has also brought it much attention."
